date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:18	14401/14401	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2023:55:50%20GMT	https://gizmoder.com/demo/html/omnivus/omnivus/case-study.html	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/case-study.html	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
11:04:18	14158/14158	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2000:08:12%20GMT	https://gizmoder.com/demo/html/omnivus/omnivus/case-details.html	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/case-details.html	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
11:04:19	9290/9290	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Oct%202019%2016:58:04%20GMT	https://gizmoder.com/demo/html/omnivus/omnivus/coming-soon.html	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/coming-soon.html	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
11:04:19	9308/9308	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Oct%202019%2016:58:18%20GMT	https://gizmoder.com/demo/html/omnivus/omnivus/error.html	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/error.html	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
11:04:19	20714/20714	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Oct%202019%2001:00:52%20GMT	https://gizmoder.com/demo/html/omnivus/omnivus/faq.html	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/faq.html	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
11:04:20	17969/17969	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2023:54:40%20GMT	https://gizmoder.com/demo/html/omnivus/omnivus/pricing.html	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/pricing.html	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
11:04:20	19415/19415	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2023:55:04%20GMT	https://gizmoder.com/demo/html/omnivus/omnivus/shop.html	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/shop.html	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
11:04:21	22204/22204	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2023:55:14%20GMT	https://gizmoder.com/demo/html/omnivus/omnivus/shop-details.html	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/shop-details.html	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
11:04:21	12968/12968	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2023:55:24%20GMT	https://gizmoder.com/demo/html/omnivus/omnivus/team.html	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/team.html	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
11:04:21	15529/15529	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2023:55:36%20GMT	https://gizmoder.com/demo/html/omnivus/omnivus/team-details.html	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/team-details.html	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
11:04:22	22300/22300	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2000:08:20%20GMT	https://gizmoder.com/demo/html/omnivus/omnivus/blog-standard.html	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/blog-standard.html	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
11:04:22	14846/14846	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2000:08:26%20GMT	https://gizmoder.com/demo/html/omnivus/omnivus/blog-grid.html	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/blog-grid.html	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
11:04:22	25828/25828	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202019%2000:08:36%20GMT	https://gizmoder.com/demo/html/omnivus/omnivus/blog-details.html	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/blog-details.html	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
11:04:23	11560/11560	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202019%2023:55:42%20GMT	https://gizmoder.com/demo/html/omnivus/omnivus/contact.html	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/contact.html	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
11:04:23	2654/2654	---M--	200	added ('OK')	image/jpeg	etag:%22a5e-592c7a14eda80%22	https://gizmoder.com/demo/html/omnivus/omnivus/assets/images/flag-1.jpg	C:/My%20Web%20Sites/software%20com/gizmoder.com/demo/html/omnivus/omnivus/assets/images/flag-1.jpg	(from https://gizmoder.com/demo/html/omnivus/omnivus/index-4.html)
